created_at,language,likes,retweets,text
2020-06-13 03:23:13,en,98641.0,16784.0,"...of respect for this Holiday, and in observance of this important occasion and all that it represents. I have the… https://t.co/UXXmEtwCjl"
2020-06-13 03:23:13,en,129947.0,25198.0,"We had previously scheduled our #MAGA Rally in Tulsa, Oklahoma, for June 19th – a big deal. Unfortunately, however,… https://t.co/guyHQndvHi"
2020-06-13 03:20:25,en,53672.0,9597.0,"...rebuilding America’s infrastructure with projects like the Portal North Bridge, which I have given authorization to proceed!"
2020-06-13 03:20:24,en,76679.0,14299.0,"Just finished dinner in Bedminster, New Jersey, with Governor Phil Murphy (@GovMurphy) and his wonderful wife, Tamm… https://t.co/MDgpR9udpb"
2020-06-12 16:39:39,en,35993.0,8610.0,...We need Corky in Washington – he has my Complete and Total Endorsement! #NHSEN https://t.co/PJGJ2j9Un2
2020-06-12 16:39:39,en,68728.0,16873.0,"Corky Messner (@CorkyForSenate) will be a fantastic Senator for New Hampshire! A West Point graduate, he served our… https://t.co/bJGyBoVFxf"
2020-06-12 14:15:27,en,209988.0,50658.0,"Seattle Mayor says, about the anarchists takeover of her city, “it is a Summer of Love”. These Liberal Dems don’t h… https://t.co/YZPtUSouZA"
2020-06-12 13:12:42,en,57604.0,12151.0,"Interview with @HARRISFAULKNER at 1:00 P.M. on @FoxNews, Outnumbered Overtime"
2020-06-12 13:09:14,en,160093.0,30042.0,“Do you think Suburban Women want to Defund the Police? I don’t think so.” @marcthiessen
2020-06-12 13:07:07,en,60036.0,14601.0,A big winner. Congratulations! https://t.co/ZsL3YA33H8
2020-06-12 13:06:37,en,53069.0,16244.0,Hello! https://t.co/2sUGvP5daB
2020-06-12 13:04:46,en,104274.0,20955.0,"The Republican Party has not yet voted on a Platform. No rush. I prefer a new and updated Platform, short form, if possible."
2020-06-12 12:37:47,en,76133.0,19218.0,"How do you think China, Russia, Japan or others would do with him in a negotiation? We would have no Country left!!! https://t.co/3YlD1ufODX"
2020-06-12 12:34:51,en,0.0,28372.0,"RT @FrancisBrennan: ""You know the rapidly rising umm uh in with uh with I don't know."" - Joe Biden. https://t.co/WQMkgISM1D"
2020-06-12 12:31:29,en,0.0,27426.0,RT @RichardGrenell: They should now be barred from federal government contracts - there should be consequences for not selling technology t…
2020-06-12 12:29:03,en,0.0,15283.0,RT @parscale: CLUELESS. 100% out of touch with reality.
2020-06-12 12:28:36,en,0.0,6300.0,RT @ScottGottliebMD: This is a critical milestone. Two therapeutic antibodies are now in the clinic with more on the way. These drugs can b…
2020-06-12 12:23:44,en,0.0,6649.0,RT @ByronYork: It happened 'following a peaceful demonstration...'
2020-06-12 12:22:43,en,0.0,4585.0,RT @ByronYork: Another Columbus statue bites the dust. https://t.co/rtqTuiXhg7 https://t.co/HHVxwuS8ow
2020-06-12 12:22:29,en,0.0,6960.0,RT @ByronYork: A third Christopher Columbus goes down.
2020-06-12 12:16:57,en,0.0,8372.0,"RT @TomBevanRCP: Media bias is not just in the stories that get covered, but the ones that don't. Total blackout on the insanity in Seattle…"
2020-06-12 12:13:33,en,0.0,13943.0,"RT @BuckSexton: Prepare for the onslaught of ""Trump's rallies are literally the most dangerous thing on planet earth right now"" pieces from…"
2020-06-12 12:11:16,en,0.0,22849.0,"RT @bdomenech: Sculpted by an Italian immigrant who helped build Grand Central Station and his son, given as a gift during the Great Depres…"
2020-06-12 12:05:19,en,0.0,11334.0,"RT @euneaux: @ElijahSchaffer @MayorJenny There is only ONE person in Seattle who has the backbone to be Mayor.

Mr. This Is Library https:/…"
2020-06-12 12:03:38,en,0.0,18897.0,RT @HeyTammyBruce: So the anarchists are building a... border wall. Okey-dokey.
2020-06-12 12:00:57,en,0.0,9441.0,"RT @DeAngelisCorey: Trump just called to ""enact school choice now""

""School choice is a big deal... because access to education is the civi…"
2020-06-12 12:00:31,en,0.0,9360.0,RT @theblaze: The debates with @realDonaldTrump are going to be a bloodbath https://t.co/Qc46tSrIMR
2020-06-12 11:59:31,en,0.0,9417.0,"RT @KerryPicket: So when #2A activists legally open carry in VA or Mich, it's a natl story that every governor across the country knows abo…"
2020-06-12 11:58:48,en,0.0,6035.0,"RT @dbongino: Jim Jordan Slams “Crazy” Attempt to Continue Flynn Case 🔥🔥🔥
https://t.co/DwvHkoKadq"
2020-06-12 11:58:16,en,0.0,16373.0,"RT @dbongino: Project Veritas Video: Antifa Chapter Head Admits Soros Funding, Association With Tom Steyer 👇
https://t.co/bkSo8R7ehW"
2020-06-12 11:57:45,en,0.0,10490.0,"RT @Breaking911: JUST IN: President Trump tells reporters he will restart MAGA rallies in Oklahoma, Arizona, Florida &amp; North Carolina"
2020-06-12 11:57:16,en,0.0,19536.0,"RT @dbongino: Do you agree? 👇
https://t.co/7JuA38cIYp"
2020-06-12 11:53:04,en,47512.0,10612.0,Crazy! https://t.co/NIQIBhexKX
2020-06-12 11:52:08,en,81122.0,20530.0,People have no idea how Fake the Lamestream Media is! https://t.co/qc8c8C7Pin
2020-06-12 11:47:04,en,0.0,7259.0,"RT @dbongino: Minneapolis City Council Wants to Disband Police – Let’s See How That Goes 👇
https://t.co/kCkZiKTuWM"
2020-06-12 11:45:06,en,0.0,46807.0,"RT @RexChapman: Every year in France, there's a ceremony that rarely makes headlines.

Ordinary people &amp; families collect sand from Omaha B…"
2020-06-12 05:54:50,en,0.0,9315.0,"RT @joelpollak: Obama Admin Turned Down Renaming of Army Bases: ‘Reconciliation, Not Division‘ 

https://t.co/68fVWWC7uN via @BreitbartNews"
2020-06-12 02:47:57,en,0.0,76183.0,RT @realDonaldTrump: The Radical Left Democrats: First they try to take away your guns. Then they try to take away your police!
2020-06-12 02:47:48,en,0.0,18256.0,RT @WhiteHouse: President @realDonaldTrump has been fighting for the forgotten men &amp; women of America since day one. https://t.co/VZp0E433TM
2020-06-12 01:24:35,en,323394.0,76183.0,The Radical Left Democrats: First they try to take away your guns. Then they try to take away your police!
2020-06-11 22:44:54,en,0.0,15899.0,"RT @WhiteHouse: “We the people will recognize, despite all the forces to the contrary, we are not each other's enemies."" 🇺🇸 https://t.co/4u…"
2020-06-11 22:44:07,en,46974.0,11373.0,"Great work @RepChipRoy, together we are keeping AMERICAN WORKERS employed! https://t.co/zYGM7ToHNm"
2020-06-11 22:15:56,en,0.0,22490.0,"RT @WhiteHouse: ""We have to work together to confront bigotry and prejudice wherever they appear. But we'll make no progress and heal no wo…"
2020-06-11 22:15:45,en,0.0,10588.0,"RT @WhiteHouse: ""We're working to finalize an Executive Order that will encourage police departments nationwide to meet the most current pr…"
2020-06-11 22:15:43,en,0.0,10216.0,"RT @WhiteHouse: President @realDonaldTrump announces four steps to build safety, opportunity, and dignity for ALL Americans—and build on vi…"
2020-06-11 22:15:33,en,0.0,8379.0,"RT @WhiteHouse: There has been vigorous conversation on how to ensure fairness, equality, and justice for all—but sadly, some are only tryi…"
2020-06-11 22:15:24,en,0.0,9856.0,"RT @WhiteHouse: Since day one, President @realDonaldTrump has been fighting for the forgotten men and women of America. https://t.co/Nl4q1o…"
2020-06-11 20:04:21,en,29056.0,7096.0,...We need Karen in Washington badly! She loves Georgia and the USA. Has my Complete and Total Endorsement! Novembe… https://t.co/WpBbTthiyo
2020-06-11 20:04:21,en,46632.0,10664.0,"Congratulations to @KarenHandel on running a great race and terrific primary victory - 75%, despite tough competiti… https://t.co/2MDU6Bknxe"
2020-06-11 19:53:17,en,34145.0,8422.0,"Senator @JoniErnst of IOWA has a new book, “Daughter of the Heartland: My Ode to the Country That Raised Me.” The f… https://t.co/bMoG2mPJOm"
2020-06-11 19:44:24,en,27643.0,6943.0,"...Unlike her Radical Liberal opponent, Theresa Greenfield, and Theresa’s failed record in real estate, Joni stands… https://t.co/hU2aHg4G12"
2020-06-11 19:44:23,en,49616.0,11972.0,"Few people have ever fought as strongly for Iowa as Senator @JoniErnst! A combat Veteran, her service to Iowa and o… https://t.co/HMsMwR6zPi"
2020-06-11 19:42:17,en,28694.0,6745.0,"...Second Amendment. Matt has my Complete and Total Endorsement! We need him in Washington now! #NH01 
https://t.co/K4xoUlQiAI"
2020-06-11 19:42:16,en,47713.0,10978.0,Matt @Mowers is a champion for the Great State of New Hampshire! He was a winner in my Administration and he will a… https://t.co/YC8KeAfccy
2020-06-11 19:33:52,en,26379.0,6936.0,"...of Schumer and Pelosi. David is Strong on Crime, our Military, Vets, Low Taxes and will protect your #2A at all… https://t.co/6S9FmZ9mcf"
2020-06-11 19:33:51,en,49766.0,13076.0,We need our Great David Perdue (@PerdueSenate) in the Senate to Drain the Swamp &amp; Make America Great Again! His Rad… https://t.co/E88LzFsf8o
2020-06-11 19:30:35,en,29033.0,7645.0,"Chris @JacobsNY27 is a Great Winner and Fighter for New York. He will never let you down! Strong on Crime, Military… https://t.co/CzWCsTUUxz"
2020-06-11 19:29:29,en,30934.0,7377.0,"...Strong on Crime, our Military, Vets and Low Taxes. Nancy has my Complete and Total Endorsement! November 3rd, a… https://t.co/rDBo9HTHqI"
2020-06-11 19:29:28,en,57665.0,13613.0,"Despite very tough competition, @NancyMace had a tremendous victory on Tuesday in South Carolina’s 1st Congressiona… https://t.co/aYkvej1Xa5"
2020-06-11 18:21:38,en,144205.0,32490.0,"Seriously failed presidential candidate, Senator Elizabeth “Pocahontas” Warren, just introduced an Amendment on the… https://t.co/1IjyhhIRyM"
2020-06-11 18:08:29,en,116616.0,30950.0,Radical Left Governor @JayInslee and the Mayor of Seattle are being taunted and played at a level that our great Co… https://t.co/TLdBz8YPQv
2020-06-11 17:24:33,en,182756.0,43511.0,Anarchists just took over Seattle and the Liberal Democrat Governor just said he knows “nothing about that”.
2020-06-11 17:23:04,en,139241.0,33652.0,"June 14th just happens to be my birthday, thank you! Love our Boaters, Love our Country! #MAGA  
https://t.co/Om9pbHIaTU"
2020-06-11 15:07:35,en,133513.0,30762.0,"The Federal Reserve is wrong so often. I see the numbers also, and do MUCH better than they do. We will have a very… https://t.co/UomzvqgKPj"
2020-06-11 14:09:59,en,433364.0,91565.0,THOSE THAT DENY THEIR HISTORY ARE DOOMED TO REPEAT IT!
2020-06-11 14:02:01,en,106043.0,25539.0,Sleepy Joe Biden refuses to leave his basement “sanctuary” and tell his Radical Left BOSSES that they are heading i… https://t.co/AsjqgnQ2WQ
2020-06-11 12:49:46,en,171356.0,34027.0,Our great National Guard Troops who took care of the area around the White House could hardly believe how easy it w… https://t.co/2e2GZfAAmo
2020-06-11 03:38:11,en,246207.0,56128.0,"Domestic Terrorists have taken over Seattle, run by Radical Left Democrats, of course. LAW &amp; ORDER!"
2020-06-11 03:30:48,en,0.0,11732.0,"RT @MarshaBlackburn: Decades of failed engagement, Western investment and unfair trade tactics built China into an industrial behemoth, giv…"
2020-06-11 03:27:22,en,108907.0,28673.0,“Very troubled by Durham probe findings.” A.G. Bill Barr  @BretBaier  @FoxNews
2020-06-11 02:36:23,en,81077.0,17896.0,...And the Trump family didn’t ask the Federal government for money to carry this and many other very expensive to… https://t.co/IXOkAJDZtT
2020-06-11 02:21:28,en,312347.0,51028.0,LAW &amp; ORDER!
